2025-05-04 22:08:41,448 | INFO | ulauncher: main() | Ulauncher version 5.15.7
2025-05-04 22:08:41,448 | INFO | ulauncher: main() | Extension API version 2.0.0
2025-05-04 22:08:41,448 | INFO | ulauncher: main() | GTK+ 3.24.49
2025-05-04 22:08:41,448 | INFO | ulauncher: main() | Is Wayland: False
2025-05-04 22:08:41,448 | INFO | ulauncher: main() | Wayland compatibility: off
2025-05-04 22:08:41,474 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2025-05-04 22:08:41,478 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2025-05-04 22:08:41,478 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2025-05-04 22:08:41,478 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2025-05-04 22:08:41,479 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2025-05-04 22:08:41,480 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2025-05-04 22:08:41,480 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2025-05-04 22:08:41,480 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2025-05-04 22:08:41,480 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2025-05-04 22:08:41,480 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2025-05-04 22:08:41,481 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-05-04 22:08:41,481 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-05-04 22:08:41,492 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-04 22:08:41,494 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2025-05-04 22:08:41,496 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2025-05-04 22:08:41,541 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 87 apps in cache
2025-05-04 22:08:41,569 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2025-05-04 22:08:41,584 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 87 apps in the system
2025-05-04 22:08:41,584 | INFO | ulauncher.search.apps.app_watcher: start() | Scanned desktop dirs in 0.09 seconds
2025-05-04 22:08:41,590 | DEBUG | ulauncher.search.apps.app_watcher: start() | Start watching desktop files...
2025-05-04 22:12:58,843 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-05-04 22:12:58,843 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-05-04 22:12:58,844 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-04 22:13:00,048 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2025-05-04 22:13:00,087 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-04 22:13:00,306 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-05-04 22:13:00,677 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-05-04 22:13:01,880 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2025-05-04 22:13:02,380 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Disks (/usr/share/applications/org.gnome.DiskUtility.desktop) Exec ['gapplication', 'launch', 'org.gnome.DiskUtility']
2025-05-04 22:13:02,397 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-04 22:14:34,389 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-05-04 22:14:34,390 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-05-04 22:14:34,390 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-04 22:14:35,073 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2025-05-04 22:14:35,215 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-05-04 22:14:35,378 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-05-04 22:14:36,412 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Discord (/usr/share/applications/discord.desktop) Exec ['/usr/bin/discord']
2025-05-04 22:14:36,420 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2025-05-05 14:21:13,917 | INFO | ulauncher.search.apps.app_watcher: _remove_file() | App was removed (/usr/share/applications/discord.desktop)
2025-05-05 14:21:19,605 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "Discord" (/usr/share/applications/discord.desktop)
2025-05-05 14:23:43,617 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "GitHub Desktop" (/usr/share/applications/github-desktop.desktop)
